,x_perc,x_cat,y_time
0,-100.0,1,22:49
1,-50.0,1,22:49
2,-33.33333333333333,1,22:49
3,25.0,0,22:49
4,20.0,0,22:49
5,16.666666666666664,0,22:49
6,-14.285714285714285,1,22:50
7,-12.5,1,22:50
8,-11.11111111111111,1,22:50
9,10.0,0,22:50
10,9.090909090909092,0,22:50
11,8.333333333333332,0,22:51
12,-7.6923076923076925,1,22:51
13,7.142857142857142,0,22:52
14,6.666666666666667,0,22:53
15,-6.25,1,22:53
16,-5.88235294117647,1,22:53
17,-5.555555555555555,1,22:53
18,5.263157894736842,0,22:54
19,-5.0,1,22:55
20,-4.761904761904762,1,22:55
21,-4.545454545454546,1,22:56
22,-4.3478260869565215,1,22:56
23,4.166666666666666,0,22:56
24,4.0,0,22:56
25,3.8461538461538463,0,22:57
26,3.7037037037037033,0,22:57
27,-3.571428571428571,1,22:58
28,-3.4482758620689653,1,22:59
29,3.3333333333333335,0,23:00
30,3.225806451612903,0,23:11
31,-3.125,1,23:11
32,-3.0303030303030303,1,23:14
33,-2.941176470588235,1,23:53
34,-2.857142857142857,1,23:53
35,2.7777777777777777,0,23:54
36,2.7027027027027026,0,00:33
37,2.631578947368421,0,00:33
38,2.564102564102564,0,00:35
39,-2.5,1,00:35
40,2.4390243902439024,0,00:43
41,-2.380952380952381,1,00:43
